,,"Bước 1",,,,,,,,,,"Bước 2",,,,,,,,,,"Bước 3",,,,,,,,,,"Bước 4",,,,,,,,,,,"Bước 5",,,,,,,,
Ngày,"Cơ sở","Đầu ngày",Mới,"Xử lý","Cuối ngày",24H,"Quá 24H",OUT,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp KT","Quá hạn",Out,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Ktra 48H","Quá 48H","Không chấm",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Chưa liên lạc","Lần 1","Lần 2","Lần 3",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp N.Học","Quá hạn N.Học","Thất bại",Chờ,Mất
2021-06-13,DQ,1,4,3,2,0,0,2,0,0,,4,3,0,7,4,0,3,0,0,,11,0,1,10,0,7,3,0,0,,7,2,2,7,1,4,0,2,0,0,,7,3,0,10,2,8,0,0,0,
2021-06-13,TY,4,1,5,0,0,0,0,0,0,,23,5,0,28,19,0,9,0,0,,4,0,1,3,0,3,0,0,0,,10,1,1,10,0,0,0,10,0,0,,23,1,0,24,1,23,0,0,0,
2021-06-14,TDH,6,0,0,6,0,1,5,0,0,,11,1,2,10,1,5,4,0,0,,34,3,3,34,2,25,7,0,0,,26,3,2,27,7,11,4,5,0,0,,29,2,0,31,2,29,0,0,0,

2021-06-14,PTT,7,0,6,1,0,1,0,0,0,,1,6,0,7,7,0,0,0,0,,2,0,0,2,0,2,0,0,0,,9,0,0,9,9,0,0,0,0,0,,4,0,0,4,0,4,0,0,0,
2021-06-14,DQ,4,6,8,2,0,0,2,0,0,,7,8,0,15,12,0,3,0,0,,10,0,0,10,0,7,3,0,0,,6,0,0,6,0,4,0,2,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-14,TY,2,6,8,0,0,0,0,0,0,,23,8,0,31,15,4,12,0,0,,0,0,0,0,0,0,0,0,0,,16,0,6,10,0,0,0,10,0,0,,23,6,0,29,6,23,0,0,0,
2021-06-15,TDH,7,0,2,5,0,0,5,0,0,,10,4,2,12,3,5,4,0,0,,36,2,4,34,2,25,7,0,0,,19,4,0,23,1,12,4,6,0,0,,32,0,0,32,0,32,0,0,0,

2021-06-15,PTT,0,4,4,0,0,0,0,0,0,,6,5,1,10,7,2,1,0,0,,2,1,1,2,1,1,0,0,0,,6,1,1,6,4,0,0,2,0,0,,8,1,0,9,1,8,0,0,0,
2021-06-15,DQ,2,4,4,2,0,0,2,0,0,,15,4,0,19,14,2,3,0,0,,10,0,0,10,0,7,3,0,0,,6,0,0,6,0,4,0,2,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-15,TY,0,2,2,0,0,0,0,0,0,,21,2,0,23,16,3,4,0,0,,0,0,0,0,0,0,0,0,0,,10,0,0,10,0,0,0,10,0,0,,15,0,0,15,0,15,0,0,0,
2021-06-16,TDH,5,1,1,5,0,0,5,0,0,,10,1,0,11,2,5,4,0,0,,35,1,4,32,0,25,7,0,0,,21,4,0,25,5,10,4,6,0,0,,32,0,0,32,0,32,0,0,0,

2021-06-16,PTT,2,1,2,1,1,0,0,0,0,,8,2,0,10,7,2,1,0,0,,1,0,0,1,0,1,0,0,0,,7,0,1,6,4,0,0,2,0,0,,9,1,0,10,1,9,0,0,0,
